year,importer1,importer2,flow1,flow2
2005,0,26,0.000337581,0.000337581
2005,0,21,0.001669119,0.001669119
2005,1,1,0.140155679,0.140155679
2005,1,2,0.0183192,0.0183192
2005,1,5,0.000372699,0.000372699
2005,1,6,0.000230615,0.000230615
2005,1,7,0.003029806,0.003029806
2005,1,24,0.001466209,0.001466209
2005,1,26,0.000352051,0.000352051
2005,1,31,0.000579478,0.000579478
2005,1,18,0.001258619,0.001258619
2005,1,21,0.000615412,0.000615412
2005,2,2,0.193943765,0.193943765
2005,2,3,0.002921276,0.002921276
2005,2,5,0.001139557,0.001139557
2005,2,6,0.000778816,0.000778816
2005,2,7,0.011806676,0.011806676
2005,2,8,0.009119279,0.009119279
2005,2,9,0.005132545,0.005132545
2005,2,10,0.001620357,0.001620357
2005,2,12,0.001895192,0.001895192
2005,2,17,0.001546883,0.001546883
2005,2,18,0.005129966,0.005129966
2005,2,19,0.002455568,0.002455568
2005,2,20,0.004804217,0.004804217
2005,2,21,0.007677409,0.007677409
2005,2,23,0.001669513,0.001669513
2005,2,24,0.006046303,0.006046303
2005,2,25,0.00016805,0.00016805
2005,2,26,0.00418746,0.00418746
2005,2,27,0.000874648,0.000874648
2005,2,28,0.005683706,0.005683706
2005,2,31,0.00221064,0.00221064
2005,2,34,0.000125744,0.000125744
2005,3,3,0.289923075,0.289923075
2005,3,4,0.023700439,0.023700439
2005,3,5,0.00471368,0.00471368
2005,3,6,0.001073856,0.001073856
2005,3,7,0.004635476,0.004635476
2005,3,10,0.000529474,0.000529474
2005,3,34,0.000232749,0.000232749
2005,3,15,0.000386859,0.000386859
2005,3,17,0.000290197,0.000290197
2005,3,18,0.001417539,0.001417539
2005,3,23,0.001143774,0.001143774
2005,3,25,0.00016853,0.00016853
2005,3,26,0.001360546,0.001360546
2005,3,31,0.003494307,0.003494307
2005,4,4,0.6308253,0.6308253
2005,4,5,0.04111183,0.04111183
2005,4,6,0.007800739,0.007800739
2005,4,7,0.042449129,0.042449129
2005,4,8,0.021851804,0.021851804
2005,4,9,0.017801163,0.017801163
2005,4,10,0.015506271,0.015506271
2005,4,11,0.006439444,0.006439444
2005,4,12,0.009993984,0.009993984
2005,4,13,0.001633187,0.001633187
2005,4,14,0.012472979,0.012472979
2005,4,15,0.003025018,0.003025018
2005,4,16,0.006222268,0.006222268
2005,4,17,0.005842332,0.005842332
2005,4,18,0.023129454,0.023129454
2005,4,19,0.020720494,0.020720494
2005,4,20,0.016899598,0.016899598
2005,4,21,0.023082964,0.023082964
2005,4,22,0.007605635,0.007605635
2005,4,23,0.006720736,0.006720736
2005,4,24,0.009837509,0.009837509
2005,4,25,0.010022266,0.010022266
2005,4,26,0.008820586,0.008820586
2005,4,27,0.008006302,0.008006302
2005,4,28,0.014089028,0.014089028
2005,4,29,0.006224244,0.006224244
2005,4,30,0.00339496,0.00339496
2005,4,31,0.009727178,0.009727178
2005,4,34,0.00064346,0.00064346
2005,5,5,0.721344377,0.721344377
2005,5,6,0.047149108,0.047149108
2005,5,7,0.113210181,0.113210181
2005,5,8,0.067107194,0.067107194
2005,5,9,0.0464864,0.0464864
2005,5,10,0.039515015,0.039515015
2005,5,11,0.015322077,0.015322077
2005,5,12,0.022983133,0.022983133
2005,5,13,0.011707758,0.011707758
2005,5,14,0.024795616,0.024795616
2005,5,15,0.010048619,0.010048619
2005,5,16,0.01554189,0.01554189
2005,5,17,0.016046831,0.016046831
2005,5,18,0.054715955,0.054715955
2005,5,19,0.049683044,0.049683044
2005,5,20,0.037525877,0.037525877
2005,5,21,0.052687841,0.052687841
2005,5,22,0.021123914,0.021123914
2005,5,23,0.025001747,0.025001747
2005,5,24,0.022498089,0.022498089
2005,5,25,0.028591342,0.028591342
2005,5,26,0.019753568,0.019753568
2005,5,27,0.020929374,0.020929374
2005,5,28,0.037939896,0.037939896
2005,5,29,0.014886147,0.014886147
2005,5,30,0.011312978,0.011312978
2005,5,31,0.024726251,0.024726251
2005,6,6,0.078270625,0.078270625
2005,6,7,0.216807478,0.216807478
2005,6,8,0.15348117,0.15348117
2005,6,9,0.111510837,0.111510837
2005,6,10,0.103707667,0.103707667
2005,6,11,0.052990189,0.052990189
2005,6,12,0.068059767,0.068059767
2005,6,13,0.054126184,0.054126184
2005,6,14,0.075556504,0.075556504
2005,6,15,0.041334655,0.041334655
2005,6,16,0.045460868,0.045460868
2005,6,17,0.046204069,0.046204069
2005,6,18,0.141310348,0.141310348
2005,6,19,0.117092025,0.117092025
2005,6,20,0.110725735,0.110725735
2005,6,21,0.144211864,0.144211864
2005,6,22,0.069884989,0.069884989
2005,6,23,0.065327473,0.065327473
2005,6,24,0.062357984,0.062357984
2005,6,25,0.116718977,0.116718977
2005,6,26,0.0533136,0.0533136
2005,6,27,0.079733897,0.079733897
2005,6,28,0.116639306,0.116639306
2005,6,29,0.052594113,0.052594113
2005,6,30,0.032589975,0.032589975
2005,6,31,0.074253639,0.074253639
2005,6,34,0.000798146,0.000798146
2005,7,7,0.299666125,0.299666125
2005,7,8,0.280077154,0.280077154
2005,7,9,0.24669931,0.24669931
2005,7,10,0.200613836,0.200613836
2005,7,11,0.076153642,0.076153642
2005,7,12,0.112325327,0.112325327
2005,7,13,0.053477617,0.053477617
2005,7,14,0.123640971,0.123640971
2005,7,15,0.036450677,0.036450677
2005,7,16,0.092137713,0.092137713
2005,7,17,0.077700659,0.077700659
2005,7,18,0.282109133,0.282109133
2005,7,19,0.235063986,0.235063986
2005,7,20,0.220009267,0.220009267
2005,7,21,0.292831792,0.292831792
2005,7,22,0.107278059,0.107278059
2005,7,23,0.109821761,0.109821761
2005,7,24,0.104428778,0.104428778
2005,7,25,0.147949184,0.147949184
2005,7,26,0.07630516,0.07630516
2005,7,27,0.095053564,0.095053564
2005,7,28,0.176860471,0.176860471
2005,7,29,0.069874369,0.069874369
2005,7,30,0.05925981,0.05925981
2005,7,31,0.093877415,0.093877415
2005,7,32,0.005419639,0.005419639
2005,7,33,0.000182726,0.000182726
2005,7,34,0.000206669,0.000206669
2005,8,8,0.410516805,0.410516805
2005,8,9,0.337637555,0.337637555
2005,8,10,0.33488484,0.33488484
2005,8,11,0.114387214,0.114387214
2005,8,12,0.15352694,0.15352694
2005,8,13,0.094763728,0.094763728
2005,8,14,0.16196901,0.16196901
2005,8,15,0.070560225,0.070560225
2005,8,16,0.123857997,0.123857997
2005,8,17,0.113063425,0.113063425
2005,8,18,0.351968922,0.351968922
2005,8,19,0.295054373,0.295054373
2005,8,20,0.27392774,0.27392774
2005,8,21,0.333088635,0.333088635
2005,8,22,0.157271965,0.157271965
2005,8,23,0.138332136,0.138332136
2005,8,24,0.133222376,0.133222376
2005,8,25,0.220080102,0.220080102
2005,8,26,0.106800042,0.106800042
2005,8,27,0.150347723,0.150347723
2005,8,28,0.2337297,0.2337297
2005,8,29,0.092550205,0.092550205
2005,8,30,0.068838729,0.068838729
2005,8,31,0.139723372,0.139723372
2005,8,32,0.003835636,0.003835636
2005,8,34,0.000580461,0.000580461
2005,9,9,0.219140691,0.219140691
2005,9,10,0.264787266,0.264787266
2005,9,11,0.101186425,0.101186425
2005,9,12,0.122736315,0.122736315
2005,9,13,0.07487411,0.07487411
2005,9,14,0.141265654,0.141265654
2005,9,15,0.045156573,0.045156573
2005,9,16,0.102891235,0.102891235
2005,9,17,0.090359048,0.090359048
2005,9,18,0.294419648,0.294419648
2005,9,19,0.24750575,0.24750575
2005,9,20,0.223792518,0.223792518
2005,9,21,0.258961433,0.258961433
2005,9,22,0.096112934,0.096112934
2005,9,23,0.113578276,0.113578276
2005,9,24,0.106750561,0.106750561
2005,9,25,0.15240705,0.15240705
2005,9,26,0.088608133,0.088608133
2005,9,27,0.10429676,0.10429676
2005,9,28,0.168695949,0.168695949
2005,9,29,0.069957847,0.069957847
2005,9,30,0.056522696,0.056522696
2005,9,31,0.08951091,0.08951091
2005,9,32,0.002175804,0.002175804
2005,10,10,0.253867857,0.253867857
2005,10,11,0.135428811,0.135428811
2005,10,12,0.158678582,0.158678582
2005,10,13,0.094270144,0.094270144
2005,10,14,0.160359202,0.160359202
